Wedge,Timestamp,RFID,Mouse
70,8/18/21 21:33,48 48 48 49 51 48 50 53 50,283
70,8/18/21 21:32,48 48 48 49 51 48 50 50 48,275
70,8/18/21 21:31,48 48 48 49 51 48 51 50 56,289
70,8/18/21 21:31,48 48 48 49 51 48 50 57 50,291
70,8/18/21 21:31,48 48 48 49 51 48 50 57 50,291
70,8/18/21 21:31,48 48 48 49 51 48 50 57 50,291
70,8/18/21 21:30,48 48 48 49 51 48 51 57 50,298
70,8/18/21 21:29,48 48 48 49 51 48 51 52 49,280
70,8/18/21 21:23,48 48 48 49 51 48 50 53 51,284
70,8/18/21 21:23,48 48 48 49 51 48 51 57 50,298
70,8/18/21 21:21,48 48 48 49 51 48 51 50 56,289
70,8/18/21 21:19,48 48 48 49 51 48 51 57 50,298
70,8/18/21 21:19,48 48 48 49 51 48 51 57 50,298
11,8/18/21 21:15,48 48 48 49 51 48 50 51 55,287
70,8/18/21 21:12,48 48 48 49 51 48 51 54 54,294
70,8/18/21 21:11,48 48 48 49 51 48 50 57 50,291
70,8/18/21 21:10,48 48 48 49 51 48 51 51 57,292
70,8/18/21 21:10,48 48 48 49 51 48 50 50 48,275
70,8/18/21 21:07,48 48 48 49 51 48 50 51 55,287
70,8/18/21 21:06,48 48 48 49 51 48 50 53 50,283
70,8/18/21 21:04,48 48 48 49 51 48 50 53 51,284
70,8/18/21 20:59,48 48 48 49 51 48 50 57 48,274
70,8/18/21 20:59,48 48 48 49 51 48 50 51 55,287
70,8/18/21 20:57,48 48 48 49 51 48 51 49 57,282
14,8/18/21 20:54,48 48 48 49 51 48 50 53 54,277
70,8/18/21 20:53,48 48 48 49 51 48 50 54 49,297
70,8/18/21 20:52,48 48 48 49 51 48 51 54 54,294
70,8/18/21 20:52,48 48 48 49 51 48 51 49 55,273
14,8/18/21 20:51,48 48 48 49 51 48 50 53 54,277
70,8/18/21 20:51,48 48 48 49 51 48 50 57 48,274
70,8/18/21 20:51,48 48 48 49 51 48 51 57 50,298
70,8/18/21 20:49,48 48 48 49 51 48 51 57 50,298
70,8/18/21 20:49,48 48 48 49 51 48 51 49 57,282
